id,year,"team_name","bat_name",age,games,plate_appe,at_bats,runs,hits,doubles,triples,homeruns,runs_batted_in,stolen_bases,caught_steal,walks,strikeouts,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,total_bases,grounded_double_plays,hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bb,"notes","created_at","updated_at","batter_id"
82,2016,"Chunichi Dragons","Dayan Viciedo",27,119,471,416,63,114,22,0,22,68,1,0,44,68,0.274,0.352,0.486,0.838,202,13,8,0,3,0,"","2017-09-25 13:02:05","2017-10-02 12:31:12","vicied001day"
83,2016,"Chunichi Dragons","Shunta Wakamatsu",21,19,35,27,0,2,0,0,0,1,0,0,1,12,0.074,0.103,0.074,0.178,2,1,0,6,1,0,"","2017-09-25 13:02:05","2017-10-02 12:31:12","wakama000shu"
84,2016,"Chunichi Dragons","Tomoya Yagi",32,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0,"","2017-09-25 13:02:05","2017-10-02 12:31:12","yagi--001tom"
85,2016,"Chunichi Dragons","Daisuke Yamai",38,33,12,11,0,0,0,0,0,0,0,0,1,7,0,0.083,0,0.083,0,0,0,0,0,0,"","2017-09-25 13:02:05","2017-10-02 12:31:12","yamai-001dai"
86,2016,"Chunichi Dragons","Kazuki Yoshimi",31,21,41,34,1,4,1,0,0,1,0,0,2,18,0.118,0.167,0.147,0.314,5,2,0,5,0,0,"","2017-09-25 13:02:05","2017-10-02 12:31:12","yoshim001kaz"
87,2016,"Yakult Swallows","Ryo Akiyoshi",27,70,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","akiyos000ryo"
88,2016,"Yakult Swallows","Nagisa Arakaki",36,6,7,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","arakak001nag"
89,2016,"Yakult Swallows","Takahiro Araki",28,61,131,111,14,27,5,1,1,9,2,1,9,20,0.243,0.311,0.333,0.645,37,5,2,9,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","araki-001tak"
90,2016,"Yakult Swallows","Wladimir Balentien",31,132,537,457,64,123,20,0,31,96,0,1,72,116,0.269,0.369,0.516,0.885,236,19,3,0,5,2,"","2017-09-25 13:03:23","2017-10-02 12:37:19","balent001wla"
91,2016,"Yakult Swallows","Kyle Davies",32,15,24,20,0,2,0,0,0,0,0,0,1,12,0.1,0.143,0.1,0.243,2,0,0,3,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","davies001hir"
92,2016,"Yakult Swallows","Ryota Fujii",27,12,20,20,2,4,1,0,0,0,0,0,0,8,0.2,0.2,0.25,0.45,5,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","fujii-000ryo"
93,2016,"Yakult Swallows","Masato Furuno",29,6,1,0,0,0,0,0,0,0,0,0,1,0,NULL,1,NULL,NULL,0,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","furuno000mas"
