id,year,"team_name","pit_name",age,wins,losses,win_loss_perc,earned_run_avg,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,homeruns,walks,intentional_bb,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,whip,hits_per_nine,homeruns_per_nine,walks_per_nine,strikeouts_per_nine,strikeouts_per_walks,"notes","created_at","updated_at","pitcher_id"
25,2016,"Chiba Lotte Marines","Kazunari Abe",27,0,0,0,4.67,13,0,7,0,0,0,17.1,22,10,9,2,11,0,6,0,0,0,85,1.904,11.4,1,5.7,3.1,0.55,"",NULL,NULL,"abe---000kaz"
26,2016,"Chiba Lotte Marines","Kuan-Yu Chen",25,1,1,0.5,4.01,7,4,0,0,0,0,24.2,25,14,11,3,10,0,23,0,0,2,104,1.419,9.1,1.1,3.6,8.4,2.3,"",NULL,NULL,"chen--000kua"
27,2016,"Chiba Lotte Marines","Takahiro Fujioka",26,1,1,0.5,2.55,32,0,2,0,0,0,42.1,35,18,12,6,17,0,32,1,0,1,179,1.228,7.4,1.3,3.6,6.8,1.88,"",NULL,NULL,"fujiok000tak"
28,2016,"Chiba Lotte Marines","Takuya Furuya",34,0,4,0,8.84,5,4,0,0,0,0,18.1,25,19,18,1,11,0,6,0,0,0,92,1.964,12.3,0.5,5.4,2.9,0.55,"",NULL,NULL,"furuya001tak"
29,2016,"Chiba Lotte Marines","Kota Futaki",20,7,9,0.438,5.34,22,21,1,1,0,0,116.1,143,74,69,12,34,1,81,2,0,5,518,1.521,11.1,0.9,2.6,6.3,2.38,"",NULL,NULL,"futaki000kot"
30,2016,"Chiba Lotte Marines","Ayumu Ishikawa",28,14,5,0.737,2.16,23,23,0,5,3,0,162.1,142,40,39,16,22,0,104,6,0,4,643,1.01,7.9,0.9,1.2,5.8,4.73,"",NULL,NULL,"ishika000ayu"
31,2016,"Chiba Lotte Marines","Takayuki Kanamori",30,0,0,0,36,1,0,0,0,0,0,1,5,4,4,0,1,0,1,0,0,0,9,6,45,0,9,9,1,"",NULL,NULL,"kanamo001tak"
32,2016,"Chiba Lotte Marines","Yuki Karakawa",26,6,6,0.5,2.84,15,15,0,1,1,0,88.2,84,30,28,2,37,1,64,3,3,1,373,1.365,8.5,0.2,3.8,6.5,1.73,"",NULL,NULL,"karaka001yuk"
33,2016,"Chiba Lotte Marines","Ryoji Katsuki",32,0,0,0,8.44,11,0,7,0,0,0,10.2,16,11,10,2,4,0,4,0,0,0,51,1.875,13.5,1.7,3.4,3.4,1,"",NULL,NULL,"katsuk002ryo"
34,2016,"Chiba Lotte Marines","Yuta Kimura",31,0,1,0,4.22,6,0,1,0,0,0,10.2,17,5,5,2,3,1,8,0,0,1,50,1.875,14.3,1.7,2.5,6.8,2.67,"",NULL,NULL,"kimura000yut"
35,2016,"Chiba Lotte Marines","Shota Kurosawa",27,0,0,0,4.5,4,0,2,0,0,0,6,9,3,3,1,1,0,3,0,0,1,28,1.667,13.5,1.5,1.5,4.5,3,"",NULL,NULL,"kurosa000sho"
36,2016,"Chiba Lotte Marines","Naoya Masuda",26,3,2,0.6,1.83,61,0,22,0,0,14,59,53,13,12,2,16,2,36,0,0,1,238,1.169,8.1,0.3,2.4,5.5,2.25,"",NULL,NULL,"masuda000nao"
37,2016,"Chiba Lotte Marines","Takahiro Matsunaga",28,3,0,1,3.46,53,0,15,0,0,0,39,35,18,15,0,18,1,27,4,0,2,173,1.359,8.1,0,4.2,6.2,1.5,"",NULL,NULL,"matsun000tak"
38,2016,"Chiba Lotte Marines","Masaki Minami",27,5,4,0.556,2.74,57,0,15,0,0,0,62.1,48,20,19,4,19,1,58,1,1,2,253,1.075,6.9,0.6,2.7,8.4,3.05,"",NULL,NULL,"minami000mas"
39,2016,"Chiba Lotte Marines","Atsushi Miyazaki",23,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,9,0,"",NULL,NULL,"miyaza000ats"
40,2016,"Chiba Lotte Marines","Yuji Nishino",25,3,6,0.333,3.35,42,0,30,0,0,21,43,39,17,16,4,11,2,36,1,0,2,180,1.163,8.2,0.8,2.3,7.5,3.27,"",NULL,NULL,"nishin000yuj"
41,2016,"Chiba Lotte Marines","Yuta Omine",28,1,3,0.25,6.49,14,6,1,0,0,0,34.2,47,31,25,1,26,1,14,2,0,1,175,2.106,12.2,0.3,6.8,3.6,0.54,"",NULL,NULL,"ohmine001yut"
42,2016,"Chiba Lotte Marines","Tomohisa Otani",31,1,3,0.25,3.45,32,0,6,0,0,0,31.1,32,14,12,2,10,0,15,1,0,0,135,1.34,9.2,0.6,2.9,4.3,1.5,"",NULL,NULL,"otani-001tom"
43,2016,"Chiba Lotte Marines","Dae-Eun Rhee",27,0,0,0,7.2,3,1,1,0,0,0,5,6,5,4,1,4,0,2,1,0,0,25,2,10.8,1.8,7.2,3.6,0.5,"",NULL,NULL,"rhee--001dae"
44,2016,"Chiba Lotte Marines","Ryota Sekiya",25,5,6,0.455,5.52,16,16,0,0,0,0,88,100,58,54,8,34,0,58,5,0,2,391,1.523,10.2,0.8,3.5,5.9,1.71,"",NULL,NULL,"sekiya000ryo"
45,2016,"Chiba Lotte Marines","Jason Standridge",37,8,8,0.5,3.56,27,27,0,0,0,0,162,168,72,64,13,45,5,99,8,1,6,686,1.315,9.3,0.7,2.5,5.5,2.2,"",NULL,NULL,"standr001jas"
46,2016,"Chiba Lotte Marines","Keisuke Takano",24,1,0,1,5.87,14,0,7,0,0,0,15.1,15,10,10,1,15,0,7,0,0,1,75,1.957,8.8,0.6,8.8,4.1,0.47,"",NULL,NULL,"takano000kei"
47,2016,"Chiba Lotte Marines","Yasuhiro Tanaka",29,0,1,0,2.76,17,0,3,0,0,0,16.1,16,5,5,2,5,0,11,2,0,1,68,1.286,8.8,1.1,2.8,6.1,2.2,"",NULL,NULL,"tanaka001yas"
48,2016,"Chiba Lotte Marines","Taiki Tojo",24,0,0,0,10.03,11,0,5,0,0,0,11.2,14,13,13,1,14,0,6,2,0,0,62,2.4,10.8,0.8,10.8,4.6,0.43,"",NULL,NULL,"tojo--000tai"
49,2016,"Chiba Lotte Marines","Tatsuya Uchi",30,3,1,0.75,1.39,34,0,5,0,0,1,32.1,17,5,5,3,12,1,34,0,0,1,125,0.897,4.7,0.8,3.3,9.5,2.83,"",NULL,NULL,"uchi--001tat"
50,2016,"Chiba Lotte Marines","Hideaki Wakui",30,10,7,0.588,3.01,26,26,0,5,0,0,188.2,195,73,63,15,48,0,118,4,0,1,793,1.288,9.3,0.7,2.3,5.6,2.46,"",NULL,NULL,"wakui-001hid"
